id;nom;prenom;adresse;telephone;centre;etat;est_mobile;est_fixe
1;Awesome Cotton Bacon;Planner;withdrawal;(916) 794-0343 x6408;SOIN;DISPO_HORS_BASE_OP;false;true
2;Plastic convergence Nevada;visionary neural;fuchsia;1-854-941-1960 x347;REGULATION;DISPO_HORS_BASE_OP;true;false
3;payment;Gorgeous Metal Soap Data;Cambridgeshire circuit Operations;(609) 529-3778 x7079;SECOURS;INDISPO_EN_INTERVENTION;true;false
4;Refined Granite Diverse;neural Functionality;Glens Human;(003) 212-3764 x24661;SOIN;ATTENTE_INTERVENTION;true;false
5;Buckinghamshire;Kids Legacy;action-items;855.652.7869 x5003;SOIN;INDISPO_AUTRES;true;true
6;Oregon transmitter;transmitter International;deposit;741.190.6233 x355;SECOURS;INDISPO_AUTRES;true;true
7;Locks Avon connect;Cotton Mississippi;HTTP heuristic;653.379.2528 x7680;REGULATION;INDISPO_AUTRES;true;false
8;Mouse Surinam Dollar;programming Motorway Computers;Automotive;907.491.6748 x9513;REGULATION;INDISPO_AUTRES;true;false
9;Bahrain Romania;hacking connecting Florida;haptic Pre-emptive;1-972-796-8942 x685;SECOURS;ATTENTE_INTERVENTION;true;false
10;web services;Iowa Chips;Buckinghamshire ivory withdrawal;803-260-1281 x779;SECOURS;INDISPO_AUTRES;true;false
