id;nom;prenom;adresse;telephone;centre;etat;est_mobile;est_fixe
1;Groves Games;Granite;Officer;(271) 877-5500 x163;SOIN;ATTENTE_INTERVENTION;false;false
2;Handcrafted;synergies Personal Loan Account;extensible moratorium;468.105.2159;SOIN;INDISPO_EN_INTERVENTION;false;true
3;teal Avon override;Seychelles system-worthy Consultant;core Mississippi;(436) 311-3321 x312;SOIN;DISPO_HORS_BASE_OP;true;false
4;back-end Incredible solution-oriented;synthesize Refined Steel Ball;Suriname Virginia;926.751.8380;SECOURS;DISPO_BASE_OP;false;true
5;pixel Wooden;Function-based;adapter;728.688.1326 x6101;SECOURS;INDISPO_AUTRES;false;false
6;regional silver;withdrawal;Grocery functionalities;1-599-701-4673;SOIN;INDISPO_EN_INTERVENTION;false;false
7;solid state quantifying ROI;Maine;innovate Cotton Marshall Islands;361.789.5749 x574;REGULATION;ATTENTE_INTERVENTION;true;true
8;Borders Games;Landing;Missouri Kids bandwidth;956-506-2316 x2032;SOIN;DISPO_BASE_OP;false;false
9;Ways Village;Plastic compressing;Savings Account;745.128.7932 x38247;SECOURS;INDISPO_AUTRES;true;false
10;Group Licensed Granite Chips SQL;Metal;Credit Card Account invoice engineer;(107) 288-8195 x6043;REGULATION;INDISPO_AUTRES;true;false
