id;nom;prenom;adresse;telephone;centre;etat;est_mobile;est_fixe
1;Credit Card Account Human Cotton;TCP Trail deposit;Polarised;355-638-9770;REGULATION;DISPO_BASE_OP;false;false
2;deposit extend;executive EXE;auxiliary;805.529.9779;SECOURS;DISPO_HORS_BASE_OP;true;false
3;tan;object-oriented microchip;Licensed Uganda bus;467.283.9212 x1636;REGULATION;INDISPO_AUTRES;false;false
4;back-end Orchestrator;Cotton Frozen;Shoes;1-564-465-3319;SOIN;DISPO_HORS_BASE_OP;false;false
5;navigate;application;Networked transform Gorgeous Soft Ball;(868) 542-2119;REGULATION;DISPO_HORS_BASE_OP;true;false
6;Versatile;Avon bandwidth;Towels;1-355-290-1013 x719;REGULATION;DISPO_HORS_BASE_OP;false;true
7;transmitting Lao People's Democratic Republic;Checking Account;Expanded Fantastic;040-744-8144;SOIN;DISPO_BASE_OP;false;false
8;Savings Account Rustic;Micronesia;pink;(293) 625-4322;SOIN;DISPO_HORS_BASE_OP;true;false
9;seamless Indonesia index;payment Liaison high-level;maximized Kentucky cross-platform;(455) 748-2639 x675;SOIN;DISPO_HORS_BASE_OP;true;true
10;Plaza Cheese Innovative;Manager Forward Strategist;bricks-and-clicks;410.328.0121;REGULATION;DISPO_BASE_OP;false;false
