id;nom;prenom;adresse;telephone;centre;etat;est_mobile;est_fixe
1;Buckinghamshire Quality Causeway;Regional flexibility French Guiana;Officer;754.393.4244 x707;SOIN;DISPO_BASE_OP;false;true
2;withdrawal Rustic;channels Books;Generic;051-933-2698 x095;SECOURS;INDISPO_EN_INTERVENTION;false;false
3;Malaysian Ringgit virtual;Route Rustic Plastic Bacon;driver Beauty;(131) 778-8396 x077;SOIN;DISPO_HORS_BASE_OP;false;false
4;yellow;navigate Streamlined;best-of-breed;716.563.6039 x08757;REGULATION;DISPO_BASE_OP;false;true
5;Computer Assistant Shoes;Ball navigate;target Future Bike;316-110-6556 x074;SOIN;DISPO_BASE_OP;false;false
6;Proactive Director 1080p;Vanuatu;Profound;880.207.3203;REGULATION;INDISPO_EN_INTERVENTION;true;false
7;Pennsylvania leverage Small Steel Hat;Papua New Guinea Credit Card Account;Sausages;181.642.6574 x475;REGULATION;ATTENTE_INTERVENTION;false;false
8;Incredible;Associate hierarchy;invoice generate pixel;1-293-754-7425 x59415;SOIN;DISPO_HORS_BASE_OP;true;false
9;Montana Granite;Chilean Peso Unidades de fomento Money Market Account;deposit Sleek Rubber Soap 24 hour;332-707-8230 x742;REGULATION;ATTENTE_INTERVENTION;true;false
10;Automotive;auxiliary;vortals encoding hard drive;223-521-1862 x7889;SOIN;DISPO_BASE_OP;false;true
