id;nom;prenom;adresse;telephone;centre;etat;est_mobile;est_fixe
1;utilize;withdrawal;Licensed Granite Tuna maximize Bike;352.318.6709 x7480;SOIN;DISPO_BASE_OP;true;true
2;Soap;Usability Rubber Refined;challenge Ranch;976.934.1445 x32728;REGULATION;DISPO_HORS_BASE_OP;false;true
3;reintermediate;Plains parallelism;Unbranded AI PCI;586-956-5776;REGULATION;ATTENTE_INTERVENTION;false;true
4;circuit;Senior;Universal Handcrafted sticky;403.746.1795 x4124;SECOURS;DISPO_HORS_BASE_OP;true;true
5;strategize modular;sky blue salmon;sky blue complexity;768.209.2708 x8340;REGULATION;INDISPO_EN_INTERVENTION;true;false
6;deposit Fresh open-source;pixel;Dynamic Savings Account;(250) 057-2557 x63139;REGULATION;ATTENTE_INTERVENTION;false;true
7;clicks-and-mortar;harness;Andorra hardware e-tailers;157-482-4899;SOIN;ATTENTE_INTERVENTION;true;false
8;convergence Mouse Serbian Dinar;Australia Russian Federation;interfaces deposit;276.237.3582 x3024;SECOURS;DISPO_HORS_BASE_OP;false;false
9;RSS Expanded SDD;Communications;national Visionary gold;278.055.8146 x53386;SECOURS;INDISPO_EN_INTERVENTION;true;false
10;solid state Car;Supervisor Panama parsing;sensor;1-684-242-6237 x02740;SECOURS;ATTENTE_INTERVENTION;false;false
