id;nom;prenom;adresse;telephone;centre;etat;est_mobile;est_fixe
1;Outdoors;Movies applications;focus group Web withdrawal;259-533-4237;SECOURS;INDISPO_AUTRES;true;true
2;indexing;Frozen Innovative Buckinghamshire;granular Auto Loan Account;(265) 943-5498 x071;SOIN;INDISPO_AUTRES;true;false
3;black input Supervisor;white;South Carolina Flats Games;(978) 198-7110;SOIN;INDISPO_EN_INTERVENTION;true;false
4;supply-chains;Ergonomic cross-platform Concrete;logistical;(322) 861-4816;REGULATION;INDISPO_AUTRES;false;false
5;frictionless withdrawal;HTTP partnerships User-friendly;wireless Plains Illinois;(026) 842-3045 x375;REGULATION;INDISPO_EN_INTERVENTION;false;true
6;Quetzal schemas Armenian Dram;deposit;compressing lime mobile;013.567.0734 x833;SOIN;DISPO_HORS_BASE_OP;true;false
7;Plastic;sky blue Berkshire;Handcrafted Cotton Table;(481) 627-6643;SECOURS;DISPO_BASE_OP;true;true
8;bifurcated;channels SMS Niger;quantifying Russian Federation Kuwait;1-289-130-0964;SECOURS;INDISPO_AUTRES;true;true
9;Ball software;Health users XML;impactful;(862) 049-2556;REGULATION;DISPO_BASE_OP;false;false
10;leading edge Estates deposit;Guarani proactive;relationships throughput interactive;587-281-2688;SECOURS;DISPO_HORS_BASE_OP;false;true
