id;nom;prenom;adresse;telephone;centre;etat;est_mobile;est_fixe
1;Synchronised;Electronics harness wireless;mindshare ivory connecting;875-438-9337 x558;SOIN;INDISPO_EN_INTERVENTION;false;false
2;Unbranded Plastic Pants;Configuration Tasty;payment Auto Loan Account maximize;1-786-639-2396;SECOURS;INDISPO_EN_INTERVENTION;false;false
3;Trace Liaison Fresh;France cyan;e-commerce Savings Account Intranet;130.233.7776 x274;REGULATION;ATTENTE_INTERVENTION;false;true
4;Chad Money Market Account Engineer;multi-byte;Unbranded;534-770-4704;SECOURS;DISPO_HORS_BASE_OP;true;false
5;Granite;array;mindshare killer Developer;1-609-250-4347;REGULATION;ATTENTE_INTERVENTION;false;false
6;Function-based quantifying Fantastic Plastic Pants;Handcrafted;teal Fresh XSS;1-184-588-6852 x39574;SECOURS;DISPO_HORS_BASE_OP;false;true
7;silver Concrete;Buckinghamshire;Indiana Fantastic Cotton Ball redundant;497.761.5849 x6148;REGULATION;ATTENTE_INTERVENTION;true;true
8;Borders B2B French Guiana;open architecture website plum;array hard drive Soft;051-684-5449 x301;SOIN;INDISPO_EN_INTERVENTION;false;true
9;Tools;Serbia Cotton;Movies Agent Rustic;713-372-6187 x50194;SOIN;ATTENTE_INTERVENTION;true;true
10;Executive bypassing;Technician;Consultant maroon Lesotho;028-472-6710;SOIN;INDISPO_AUTRES;false;false
