id;nom;prenom;adresse;telephone;centre;etat;est_mobile;est_fixe;est_ambulancier
1;Wallis and Futuna virtual;program;e-services local internet solution;543-467-4218;SOIN;INDISPO_AUTRES;true;true;true
2;Executive index violet;cross-platform;back up;635.966.9089 x3813;SOIN;INDISPO_AUTRES;true;true;false
3;virtual Buckinghamshire Movies;visualize;Gibraltar Awesome Wooden Pizza;097.118.0739 x69104;REGULATION;INDISPO_EN_INTERVENTION;false;true;false
4;Automotive synthesizing Uruguay;withdrawal Savings Account Garden;1080p Metrics;495-798-2040 x45088;SOIN;DISPO_HORS_BASE_OP;true;false;true
5;didactic eyeballs;Awesome Frozen Tuna Small Soft Sausages;invoice;(757) 596-7368 x4543;REGULATION;ATTENTE_INTERVENTION;false;false;true
6;array Salad;synthesize 1080p;Metal override Wyoming;(150) 589-7825 x414;SECOURS;INDISPO_EN_INTERVENTION;true;true;true
7;infrastructures mission-critical;Small Soft Cheese South Dakota;Regional American Samoa;706.599.4526 x156;SECOURS;ATTENTE_INTERVENTION;false;false;true
8;copying Personal Loan Account;pixel feed Senior;convergence Concrete ADP;1-332-177-5727;SOIN;ATTENTE_INTERVENTION;false;false;false
9;Fantastic Wooden Chair;synthesize;calculating Lead Toys;519.004.4275 x3487;SOIN;DISPO_BASE_OP;false;false;true
10;Licensed Granite Keyboard Malagasy Ariary Cotton;California system;frame;435.204.6418;SECOURS;INDISPO_AUTRES;false;true;false
